coordinate_pair,route,distance,trip duration,distance_value(km),time_value(min)
"24.988363,121.576536/25.005386,121.55716",途經萬芳路,4.5 公里,16 分,4.5,16
"24.98862,121.54361/24.97848,121.55545",途經樟新街,3.7 公里,11 分,3.7,11
"24.98862,121.54361/24.97848,121.55545",途經辛亥路七段,3.1 公里,11 分,3.1,11
"24.98862,121.54361/24.9856,121.54531",途經木柵路一段,650 公尺,2 分,0.65,2
"24.98862,121.54361/24.995563,121.547092",途經景後街,1.4 公里,5 分,1.4,5
"24.98862,121.54361/24.995563,121.547092",途經景興路,1.2 公里,4 分,1.2,4
"24.98862,121.54361/24.995563,121.547092",途經景興路和景華街,1.2 公里,4 分,1.2,4
"24.98862,121.54361/24.9966,121.540295",途經台9線,1.8 公里,7 分,1.8,7
"24.98862,121.54361/24.9966,121.540295",途經景文街,1.6 公里,7 分,1.6,7
"24.98862,121.54361/24.9966,121.540295",途經景美街,1.2 公里,5 分,1.2,5
"24.989902,121.569984/24.97848,121.55545",途經木新路二段,2.6 公里,8 分,2.6,8
"24.989902,121.569984/24.97848,121.55545",途經木柵路三段,3.9 公里,12 分,3.9,12
"24.989902,121.569984/24.97848,121.55545",途經木柵路三段和恆光街61巷,3.2 公里,10 分,3.2,10
"24.989902,121.569984/24.980602,121.556177",途經保儀路和木新路三段,1.9 公里,7 分,1.9,7
"24.989902,121.569984/24.980602,121.556177",途經木新路二段和木新路三段,2.3 公里,7 分,2.3,7
"24.989902,121.569984/24.980602,121.556177",途經木柵路三段和木新路三段,2.4 公里,9 分,2.4,9
"24.989902,121.569984/24.984144,121.569064",途經木新路一段和木新路二段,950 公尺,3 分,0.95,3
"24.989902,121.569984/24.984144,121.569064",途經木新路二段,1.0 公里,4 分,1.0,4
"24.989902,121.569984/24.984144,121.569064",途經木柵路三段和木新路二段,1.0 公里,4 分,1.0,4
"24.989902,121.569984/24.984707,121.563125",途經保儀路和忠順街二段,1.1 公里,4 分,1.1,4
"24.989902,121.569984/24.984707,121.563125",途經忠順街二段,1.2 公里,5 分,1.2,5
"24.989902,121.569984/24.984707,121.563125",途經木柵路三段,1.3 公里,5 分,1.3,5
"24.989902,121.569984/24.9856,121.54531",途經106縣道,3.3 公里,12 分,3.3,12
"24.989902,121.569984/24.9856,121.54531",途經木柵路三段,5.9 公里,18 分,5.9,18
"24.989902,121.569984/24.986301,121.567855",途經木柵路三段和保儀路,500 公尺,2 分,0.5,2
"24.989902,121.569984/24.986301,121.567855",途經木柵路三段和木柵路三段102巷,550 公尺,3 分,0.55,3
"24.989902,121.569984/24.987144,121.560627",途經木柵路三段,1.3 公里,6 分,1.3,6
"24.989902,121.569984/24.987144,121.560627",途經木柵路三段和興隆路四段105巷,1.1 公里,5 分,1.1,5
"24.989902,121.569984/24.987507,121.549827",途經106縣道,2.3 公里,8 分,2.3,8
"24.989902,121.569984/24.987507,121.549827",途經木柵路三段、106縣道和試院路,2.5 公里,9 分,2.5,9
"24.989902,121.569984/24.987507,121.549827",途經木柵路三段和106縣道,2.2 公里,8 分,2.2,8
"24.989902,121.569984/24.988241,121.55561",途經木柵路三段,1.6 公里,6 分,1.6,6
"24.989902,121.569984/24.988241,121.55561",途經木柵路三段、秀明路一段22巷和106縣道,1.6 公里,5 分,1.6,5
"24.989902,121.569984/24.988241,121.55561",途經木柵路三段和106縣道,1.6 公里,6 分,1.6,6
"24.989902,121.569984/24.988363,121.576536",途經指南路二段,1.2 公里,6 分,1.2,6
"24.989902,121.569984/24.988363,121.576536",途經木新路一段,1.1 公里,4 分,1.1,4
"24.989902,121.569984/24.988363,121.576536",途經秀明路二段,1.2 公里,5 分,1.2,5
"24.989902,121.569984/24.98862,121.54361",途經106縣道,3.0 公里,11 分,3.0,11
"24.989902,121.569984/24.98862,121.54361",途經106縣道和木柵路一段,3.2 公里,11 分,3.2,11
