"25.007528,121.537188/24.987144,121.560627",途經106縣道,distance,5.7 公里,18 分 5.7 公里    途經106縣道 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.987144,121.560627/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.987144,121.560627",途經106縣道,trip duration,18 分,18 分 5.7 公里    途經106縣道 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.987144,121.560627/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.984144,121.569064",途經汀洲路四段,distance,8.0 公里,24 分 8.0 公里    途經汀洲路四段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.984144,121.569064/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.984144,121.569064",途經汀洲路四段,trip duration,24 分,24 分 8.0 公里    途經汀洲路四段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.984144,121.569064/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.984144,121.569064",途經106縣道,distance,7.0 公里,24 分 7.0 公里    途經106縣道 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.984144,121.569064/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.984144,121.569064",途經106縣道,trip duration,24 分,24 分 7.0 公里    途經106縣道 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.984144,121.569064/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.984144,121.569064",途經汀洲路四段和木柵路一段/106縣道,distance,7.0 公里,23 分 7.0 公里    途經汀洲路四段和木柵路一段/106縣道 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.984144,121.569064/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.984144,121.569064",途經汀洲路四段和木柵路一段/106縣道,trip duration,23 分,23 分 7.0 公里    途經汀洲路四段和木柵路一段/106縣道 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.984144,121.569064/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.984707,121.563125",途經汀洲路四段,distance,7.5 公里,23 分 7.5 公里    途經汀洲路四段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.984707,121.563125/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.984707,121.563125",途經汀洲路四段,trip duration,23 分,23 分 7.5 公里    途經汀洲路四段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.984707,121.563125/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.984707,121.563125",途經忠順街一段,distance,6.2 公里,19 分 6.2 公里    途經忠順街一段 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.984707,121.563125/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.984707,121.563125",途經忠順街一段,trip duration,19 分,19 分 6.2 公里    途經忠順街一段 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.984707,121.563125/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.984707,121.563125",途經汀洲路四段和忠順街一段,distance,6.5 公里,24 分 6.5 公里    途經汀洲路四段和忠順街一段 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.984707,121.563125/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.984707,121.563125",途經汀洲路四段和忠順街一段,trip duration,24 分,24 分 6.5 公里    途經汀洲路四段和忠順街一段 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.984707,121.563125/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/25.001545,121.536446",途經汀州路四段,distance,750 公尺,3 分 750 公尺    途經汀州路四段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/25.001545,121.536446/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/25.001545,121.536446",途經汀州路四段,trip duration,3 分,3 分 750 公尺    途經汀州路四段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/25.001545,121.536446/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/25.001545,121.536446",途經汀州路四段和汀洲路四段/溪洲街,distance,800 公尺,3 分 800 公尺    途經汀州路四段和汀洲路四段/溪洲街 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/25.001545,121.536446/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/25.001545,121.536446",途經汀州路四段和汀洲路四段/溪洲街,trip duration,3 分,3 分 800 公尺    途經汀州路四段和汀洲路四段/溪洲街 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/25.001545,121.536446/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/25.001447,121.539037",途經羅斯福路五段150巷和羅斯福路五段/台9線,distance,800 公尺,3 分 800 公尺    途經羅斯福路五段150巷和羅斯福路五段/台9線 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/25.001447,121.539037/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/25.001447,121.539037",途經羅斯福路五段150巷和羅斯福路五段/台9線,trip duration,3 分,3 分 800 公尺    途經羅斯福路五段150巷和羅斯福路五段/台9線 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/25.001447,121.539037/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/25.001447,121.539037",途經羅斯福路五段/台9線,distance,850 公尺,3 分 850 公尺    途經羅斯福路五段/台9線 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/25.001447,121.539037/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/25.001447,121.539037",途經羅斯福路五段/台9線,trip duration,3 分,3 分 850 公尺    途經羅斯福路五段/台9線 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/25.001447,121.539037/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/25.001447,121.539037",途經汀州路四段,distance,1.0 公里,4 分 1.0 公里    途經汀州路四段 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/25.001447,121.539037/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/25.001447,121.539037",途經汀州路四段,trip duration,4 分,4 分 1.0 公里    途經汀州路四段 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/25.001447,121.539037/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.986301,121.567855",途經汀洲路四段,distance,7.8 公里,24 分 7.8 公里    途經汀洲路四段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.986301,121.567855/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.986301,121.567855",途經汀洲路四段,trip duration,24 分,24 分 7.8 公里    途經汀洲路四段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.986301,121.567855/data=!3m1!4b1!4m2!4m1!3e1"
